"","Year","County","Acres seeded ","Acres harvested","Yield (bushels/ac)","Production ('000 bushels)","Production ('000 tonnes)"
"375",2011,"Algoma","135","0","0","0","0"
"376",2011,"Cochrane","152","0","0","0","0"
"377",2011,"Greater Sudbury","0","0","0","0","0"
"378",2011,"Kenora",NA,"0","0","0","0"
"379",2011,"Manitoulin","698","0","0","0","0"
"380",2011,"Nipissing",NA,"0","0","0","0"
"381",2011,"Rainy River","85","0","0","0","0"
"382",2011,"Sudbury",NA,"0","0","0","0"
"383",2011,"Thunder Bay","245","0","0","0","0"
"384",2011,"Timiskaming","1594","0","0","0","0"
"385",2012,"Brant","49185.63","49018.87","130.61","6402.39","162.63"
"386",2012,"Chatham-Kent","174039.94","173449.87","181.82","31537.30","801.09"
"387",2012,"Elgin","136412.04","135949.55","175.13","23809.24","604.79"
"388",2012,"Essex","66704.75","66478.60","165.09","10974.78","278.77"
"389",2012,"Haldimand-Norfolk","70124.86","69887.10","135.36","9459.74","240.29"
"390",2012,"Hamilton","35073.09","34954.18","146.25","5112.08","129.85"
"391",2012,"Lambton","127317.60","126885.93","170.96","21691.94","551"
"392",2012,"Middlesex","237677.16","236871.33","166.31","39393.57","1000.65"
"393",2012,"Niagara","35788.62","35667.28","131.75","4699.23","119.37"
"394",2012,"Oxford","158976.30","158437.30","159.90","25333.42","643.50"
"395",2012,"Bruce","78285.40","71646.07","139.84","10019.24","254.50"
"396",2012,"Dufferin","19102.01","17481.98","130.46","2280.68","57.93"
"397",2012,"Grey","26627.68","24369.40","134.33","3273.50","83.15"
"398",2012,"Halton","14027.22","12837.58","99.05","1271.53","32.30"
"399",2012,"Huron","165550.73","151510.48","162.35","24597.10","624.80"
"400",2012,"Peel","11185.55","10236.91","119.53","1223.66","31.08"
"401",2012,"Perth","114567.30","104850.93","166.39","17445.90","443.15"
"402",2012,"Simcoe","67211.96","61511.76","153.75","9457.29","240.23"
"403",2012,"Waterloo","43890.04","40167.75","142.13","5709.08","145.02"
"404",2012,"Wellington","95048.10","86987.14","143.35","12469.62","316.74"
"405",2012,"Durham","46454.81","46024.07","155.16","7141.09","181.39"
"406",2012,"Haliburton","0","0","0","0","0"
"407",2012,"Hastings","19997.70","19812.28","116.79","2313.95","58.78"
"408",2012,"Kawartha Lakes","20601.26","20410.25","137.67","2809.95","71.38"
"409",2012,"Muskoka","0","0","0","0","0"
"410",2012,"Northumberland","34195.84","33878.77","133.05","4507.69","114.50"
"411",2012,"Parry Sound","0","0","0","0","0"
"412",2012,"Peterborough","15285.24","15143.52","110.49","1673.25","42.50"
"413",2012,"Prince Edward","41662.67","41276.37","102.63","4236.15","107.60"
"414",2012,"York","37502.48","37154.75","151.40","5625.22","142.89"
"415",2012,"Frontenac","7795.37","7666.11","113.19","867.76","22.04"
"416",2012,"Lanark","10581.76","10406.30","104.39","1086.31","27.59"
"417",2012,"Leeds and Grenville","29080.55","28598.36","138.32","3955.84","100.48"
"418",2012,"Lennox and Addington","11011.99","10829.39","93.16","1008.88","25.63"
"419",2012,"Ottawa","55539.87","54618.95","121.21","6620.36","168.17"
"420",2012,"Prescott and Russell","60083.93","59087.66","135.53","8007.90","203.41"
"421",2012,"Renfrew","24663.85","24254.89","103.70","2515.19","63.89"
"422",2012,"Stormont, Dundas and Glengarry","132942.69","130738.34","152.11","19886.37","505.14"
"423",2012,"Algoma","0","0","0","0","0"
"424",2012,"Cochrane","0","0","0","0","0"
"425",2012,"Greater Sudbury","0","0","0","0","0"
"426",2012,"Kenora","0","0","0","0","0"
"427",2012,"Manitoulin","0","0","0","0","0"
"428",2012,"Nipissing","0","0","0","0","0"
"429",2012,"Rainy River","0","0","0","0","0"
"430",2012,"Sudbury","0","0","0","0","0"
"431",2012,"Thunder Bay","487.25","487.25","74.65","36.37","0.92"
"432",2012,"Timiskaming","352.82","352.82","111.78","39.44","1"
"433",2013,"Brant","47437.55","47282.28","155","7328.96","186.17"
"434",2013,"Chatham-Kent","122446.06","122045.29","177.61","21676.14","550.60"
"435",2013,"Elgin","142052.80","141587.86","171.21","24240.65","615.75"
"436",2013,"Essex","55940.68","55757.58","162.45","9057.95","230.08"
"437",2013,"Haldimand-Norfolk","77019.54","76767.45","156.69","12028.83","305.55"
"438",2013,"Hamilton","22801.73","22727.10","150.57","3422.11","86.93"
"439",2013,"Lambton","139138.88","138683.48","173.05","23998.93","609.60"
"440",2013,"Middlesex","188223.47","187607.41","172.46","32355.26","821.87"
"441",2013,"Niagara","20350.89","20284.28","133.22","2702.27","68.64"
"442",2013,"Oxford","162288.42","161757.25","176.18","28497.89","723.88"
"443",2013,"Bruce","68356.42","67567.18","148.24","10016.21","254.43"
"444",2013,"Dufferin","15341.65","15164.51","119.47","1811.67","46.02"
"445",2013,"Grey","30390.07","30039.18","134.22","4031.98","102.42"
"446",2013,"Halton","3333.65","3295.16","156.89","516.97","13.13"
"447",2013,"Huron","237544.24","234801.57","165.21","38791.47","985.36"
"448",2013,"Peel","10722.87","10599.07","130.39","1382.01","35.10"
"449",2013,"Perth","118356.05","116989.51","165.63","19376.70","492.19"
"450",2013,"Simcoe","60655.77","59955.44","156.64","9391.24","238.55"
"451",2013,"Waterloo","42286.84","41798.60","149.71","6257.81","158.96"
"452",2013,"Wellington","79912.45","78989.78","153.07","12090.93","307.13"
